,page_link,product_name,item_no,description,style,material,type_class,color,rating
497,https://www.overstock.com/Home-Garden/Offex-Ascalon-Contemporary-Upholstered-Ottoman-Pouf-in-Purple-Fabric/22971187/product.html?refccid=4WNMOCSC77P2LACHIFBXADGGTU&searchidx=497,Offex Ascalon Contemporary Upholstered Ottoman Pouf in Purple Fabric,28537880,"Contemporary Style. Taut Upholstery. CA117 Fire Retardant Foam. Black Bottom Dust Cover. Wood Grain Plastic Feet. Weight: 9 lbs. Weight Capacity: 300 lbs. Dimensions: 16.5""W x 16.5""D x 16""H",Modern & Contemporary,"Fabric, Foam, Plastic","Pouf, Standard Ottoman",Purple,0.0
498,https://www.overstock.com/Home-Garden/Home-Locomotion-10015184-Silver-Ottoman-Pouf/22066449/product.html?refccid=4WNMOCSC77P2LACHIFBXADGGTU&searchidx=498,Home Locomotion 10015184 Silver Ottoman Pouf,27737707,"Add glitz and glamour to your living room with this comfortable ottoman pouf. Finished in silver, this functional furnishing accent will be the most popular seat or footrest in the house.",,,Pouf,,0.0
499,https://www.overstock.com/Home-Garden/Majestic-Home-Goods-Lavender-Small-Polka-Dot-Indoor-Ottoman-Pouf-Cube/11828012/product.html?refccid=4WNMOCSC77P2LACHIFBXADGGTU&searchidx=499,Majestic Home Goods Lavender Small Polka Dot Indoor Ottoman Pouf Cube,18732880,"Add style and color to your living room or indoor seating arrangement with Majestic Home Goods Small Cube Ottoman. This cube is perfect for use as a footstool, side table or as extra seating for guests. Woven from Cotton twill that offers outstanding protection with 300/600 Waterproof Denier Base. The ottoman pouf cubes are eco-friendly filled with highly durable and comfortable polystyrene beads for long hours of sitting. Perfect convenient size for all indoor environments",Modern & Contemporary,Cotton,"Pouf, Standard Ottoman",Purple,0.0
500,https://www.overstock.com/Home-Garden/Delinda-Orange-Purple-Morrocan-Ikat-Upholstered-Wool-Handmade-Storage-Ottoman-16-x-16-x-20-inches/22883563/product.html?refccid=4WNMOCSC77P2LACHIFBXADGGTU&searchidx=500,Delinda Orange/Purple Morrocan Ikat Upholstered Wool Handmade Storage Ottoman (16 x 16 x 20 inches),28459915,"Inject a touch of character into your seating area with the fun design of this Arshs Fine Rugs Delinda ottoman. The Morrocan wool material features a bold orange color with pops of purple, blue and green to draw the eye to the charming abstract ikat pattern.","Modern & Contemporary, Pouf, Southwestern","Foam, Wood, Wool","Standard Ottoman, Storage Cube, Storage Ottoman",Orange,0.0
501,https://www.overstock.com/Home-Garden/Square-Pouf-Sterling-Chocolate/16290547/product.html?refccid=4WNMOCSC77P2LACHIFBXADGGTU&searchidx=501,Square Pouf Sterling Chocolate,22656706,"Our Pouf Square Ottomans are a great add on to any decor. They work as a foot rest or extra seating. They are filled with polyester fiber & recycled EPS filler. The ottomans are overstuffed for long lasting, maximum comfort & support. The cover of this piece is removable for easy care. Sterling is a polyester with a soft, linen like texture. Also available in a round shape.",,Polyester,"Foot Stool, Pouf, Standard Ottoman",Brown,0.0
502,https://www.overstock.com/Home-Garden/Mercana-Palesa-Grey-Cotton-Pouf/24251449/product.html?refccid=4WNMOCSC77P2LACHIFBXADGGTU&searchidx=502,Mercana Palesa Grey Cotton Pouf,29689959,"Place this Mercana Palesa pouf in your bedroom, living room, or family room for versatile use as a foot stool or extra seat. Thick tufted accents add a compelling visual touch.",Tropical,Cotton,Pouf,Grey,0.0
503,https://www.overstock.com/Home-Garden/Handmade-Jiti-Vince-Ottoman-Pouf-USA/8458811/product.html?refccid=4WNMOCSC77P2LACHIFBXADGGTU&searchidx=503,Handmade Jiti Vince Ottoman Pouf (USA),15751299,"This fabulous ottoman features a geometric zig-zag design in bold colors for a stylish finish. Complete with a 100-percent cotton construction, this versatile ottoman is perfect for use as a stool, foot rest or modern accent table if paired with a tray.",,Cotton,"Pouf, Standard Ottoman",Grey,0.0
504,https://www.overstock.com/Home-Garden/Scandinavia-Guna-Design-Cylindrical-Pouf-44-Ash-16-x-18-x-18-in./22072640/product.html?refccid=4WNMOCSC77P2LACHIFBXADGGTU&searchidx=504,"Scandinavia Guna Design Cylindrical Pouf, Ash - 16 x 18 x 18 in.",27743610,"Our products are a whole wide range of exclusive handmade rugs that are adorning homes worldwide. We believe in decorating homes with elegant styles, luxurious comfort trickled with the essence of rural craftsmanship.",,,Pouf,,0.0
505,https://www.overstock.com/Home-Garden/Offex-Barrington-Upholstered-Round-Ottoman-Pouf-In-Orange-Fabric/23038786/product.html?refccid=4WNMOCSC77P2LACHIFBXADGGTU&searchidx=505,Offex Barrington Upholstered Round Ottoman Pouf In Orange Fabric,28597817,"This incredibly stylish pouf is the perfect piece of casual furniture for seating. The solid wood interior will hold up kids and adults alike. When you want to relax, prop your feet up and ease in your favorite chair. The versatility of a pouf is your all-in-one solution for seating, as a footrest and a table, so get yours today! Contemporary Style. Orange Fabric Upholstery. Taut Upholstery. CA117 Fire Retardant Foam. Black Bottom Dust Cover. Plastic Pin Gliders. Weight: 51 lbs. Overall Dimensions: 15.75""W x 15.75""D x 16.25""H",Modern & Contemporary,"Fabric, Foam, Plastic","Pouf, Standard Ottoman",Orange,0.0
506,https://www.overstock.com/Home-Garden/Kilim-Pouf-Salhford-15-x15-x17/20166055/product.html?refccid=4WNMOCSC77P2LACHIFBXADGGTU&searchidx=506,"Kilim Pouf Salhford, (15""x15""x17"")",26060323,Kick your feet up or provide additional seating with this kilim pouf. The striking geometric pattern features orange and brown colors to add a Southwestern touch to your room.,Southwestern,"Upholstered, Wool","Foot Stool, Pouf","Brown, Grey, Orange",0.0
507,https://www.overstock.com/Home-Garden/Kilim-Pouf-Mustapha-12-x12-x17/20166054/product.html?refccid=4WNMOCSC77P2LACHIFBXADGGTU&searchidx=507,"Kilim Pouf Mustapha, (12""x12""x17"")",26060322,"Experience ultimate comfort when resting your feet on this practical Mustapha pouf by Noori Rug. Boasting a tribal design in tones of black, brown, and red, this pouf infuses color and visual interest into your home.",Southwestern,"Upholstered, Wool","Foot Stool, Pouf","Black, Brown, Orange",0.0
