,page_link,product_name,item_no,description,style,material,type_class,color,rating
20,https://www.overstock.com/Home-Garden/Majestic-Home-Goods-Trellis-Indoor-Outdoor-Ottoman-Pouf-Cube/11821741/product.html?refccid=JI4WMHOIQPFLANKAMJINBHF4MU&searchidx=20,Majestic Home Goods Trellis Indoor / Outdoor Ottoman Pouf Cube,18727506,"Add style and color to your living room or outdoor seating arrangement with Majestic Home Goods Small Cube Ottoman. This cube is perfect for use as a footstool, side table or as extra seating for guests. Woven from outdoor treated polyester, these cubes have up to 1000 hours of U.V. protection and are able to withstand all of nature’s elements. The beanbags are eco-friendly filled with environmentally friendly, highly durable and comfortable polystyrene beads for long hours of sitting. Perfect convenient size for all indoor and outdoor environments",Modern & Contemporary,Polyester,"Pouf, Standard Ottoman","Blue, Grey, Orange",4.8
21,https://www.overstock.com/Home-Garden/Tibetan-Sheep-Grey-Pouf/19618058/product.html?refccid=JI4WMHOIQPFLANKAMJINBHF4MU&searchidx=21,Tibetan Sheep Grey Pouf,25573838,"Bring a glamorous, personal touch into your home with this grey pouf cube. This cozy pouf boasts real Tibetan sheep fur to deliver maximum comfort and softness, and it doubles both as a seat and an ottoman.",Glam,Cotton,"Cocktail Ottoman, Pouf",Grey,5.0
22,https://www.overstock.com/Home-Garden/Travis-Velvet-or-Linen-Storage-Ottoman-Cube-Shaped-Modern-Design/24239034/product.html?refccid=JI4WMHOIQPFLANKAMJINBHF4MU&searchidx=22,Travis Velvet or Linen Storage Ottoman - Cube Shaped / Modern Design,29678871,Our stunning modern storage ottoman combines functionality and style for your living room or bedroom.,"Glam, Traditional, Transitional","Linen, Velvet","Standard Ottoman, Storage Cube, Storage Ottoman","Blue, Cream, Green, Grey, Pink, Purple",5.0
23,https://www.overstock.com/Home-Garden/Majestic-Home-Goods-Villa-Collection-Indoor-Ottoman-Pouf-Cube/11038151/product.html?refccid=JI4WMHOIQPFLANKAMJINBHF4MU&searchidx=23,Majestic Home Goods Villa Collection Indoor Ottoman Pouf Cube,18051833,"Add style and color to your living room or indoor seating arrangement with Majestic Home Goods Small Cube Ottoman. This cube is perfect for use as a footstool, side table or as extra seating for guests. Woven from Polyester Micro-velvet that offers outstanding protection with 300/600 Waterproof Denier Base. The ottoman pouf cubes are eco-friendly filled with highly durable and comfortable polystyrene beads for long hours of sitting. Perfect convenient size for indoor environments",Casual,Polyester Blend,"Pouf, Standard Ottoman","Blue, Brown, Green, Grey, Orange, Purple, Tan",4.0
24,https://www.overstock.com/Home-Garden/Clay-Alder-Home-Pope-Street-Orange-Linen-Storage-Ottoman/20254769/product.html?refccid=JI4WMHOIQPFLANKAMJINBHF4MU&searchidx=24,Clay Alder Home Pope Street Orange Linen Storage Ottoman,20254769,Furnish your living space with this multi-functional ottoman from Clay Alder Home. The espresso-finished hardwood frame is upholstered with bright orange linen and topped with a plush seat that reverses to a table top. Fill the inner storage space with extra blankets or books.,"Traditional, Transitional","Linen, Polyester","Storage Cube, Storage Ottoman",Orange,4.5
25,https://www.overstock.com/Home-Garden/Modern-Gray-Cube-Shape-Wool-16-x18-x18-Pouf/8692265/product.html?refccid=JI4WMHOIQPFLANKAMJINBHF4MU&searchidx=25,"Modern Gray Cube Shape Wool (16""x18""x18"") Pouf",15945154,"This pouf coordinates to our range of rugs. Constructed of felt and thick woolen yarn, it is both comfortable and beautiful.",Modern & Contemporary,"Reclaimed Wood, Wood, Wool","Pouf, Standard Ottoman",Grey,4.5
26,https://www.overstock.com/Home-Garden/Chic-Silver-Tufted-Cube-Storage-Ottoman/11552068/product.html?refccid=JI4WMHOIQPFLANKAMJINBHF4MU&searchidx=26,Chic Silver Tufted Cube Storage Ottoman,18496401,This silver tufted storage ottoman is glittering in appearance giving any room a chic update. The pour will add comfort and style to a living area or bedroom. It is tufted with brilliant clear jewels. Perfect for a girl's room to add some glamour and style. It can be a fun addition to an eclectic living room that is trying to add some flair to the decor.,Modern & Contemporary,Faux Leather,"Storage Cube, Storage Ottoman",Silver,4.8
27,https://www.overstock.com/Home-Garden/Porch-Den-Los-Feliz-Talmadge-Fashion-Storage-Cube-Ottoman/19390026/product.html?refccid=JI4WMHOIQPFLANKAMJINBHF4MU&searchidx=27,Porch & Den Los Feliz Talmadge Fashion Storage Cube Ottoman,19390026,"Kick up your feet and enjoy style, storage, and comfort with this eye-catching storage ottoman. Featuring a beautiful geometric pattern in shades of orange and white, the ottoman adds a touch of color and visual interest to any decor, while the hinged lid opens to a spacious storage space that's ideal for storing blankets, remotes, DVDs, game controllers, snacks, and more.","Modern & Contemporary, Transitional","Fabric, Foam, Wood","Storage Cube, Storage Ottoman",Orange,4.8
28,https://www.overstock.com/Home-Garden/LR-Home-Boho-Braided-Multi-Chindi-Jute-Pouf-Ottoman-14-x-20/16342022/product.html?refccid=JI4WMHOIQPFLANKAMJINBHF4MU&searchidx=28,"LR Home Boho Braided Multi Chindi Jute Pouf Ottoman ( 14"" x 20"" )",22702597,"This pouf offers a stylish resourcefulness to your living space. It is intricately hand braided; the remarkable design will surely make a style statement in your home with the addition of this utterly exquisite pouf. The captivating swirl design laced with a pop of pristine color will flawlessly trend a sense of cunningly sweet sophistication from room to room within any home decor. Genuinely impeccable in all aspects of construction and style, this piece embodies flawless artistry while maintaining philosophies of affordability and durable design, making it the ideal accessory for your own unique and exquisite home decor.","Casual, Modern & Contemporary",Cotton,"Pouf, Standard Ottoman","Multi, Natural",4.4
29,https://www.overstock.com/Home-Garden/Deon-Fabric-Round-Ottoman-Pouf-by-Christopher-Knight-Home/14741637/product.html?refccid=JI4WMHOIQPFLANKAMJINBHF4MU&searchidx=29,Deon Fabric Round Ottoman Pouf by Christopher Knight Home,21268494,"Refresh your space with this colorful round ottoman pouf from Christopher Knight Home. Hand-knit for superior quality, this round fabric ottoman is durable enough for both indoor and outdoor use.",Modern & Contemporary,Fabric,"Foot Stool, Pouf, Standard Ottoman","Blue, Green, Orange",4.2
